game_date,start_time_et,away_team,home_team,market_implied_home_win_prob,availability_edge,availability_note,news_confirmed,rest_edge,travel_edge,net_rating_edge
2026-09-22,2026-09-22T00:15:00Z,New York Giants,Los Angeles Rams,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-25,2026-09-25T00:15:00Z,Atlanta Falcons,Green Bay Packers,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-27,2026-09-27T17:00:00Z,Los Angeles Chargers,Buffalo Bills,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-27,2026-09-27T17:00:00Z,Carolina Panthers,Cleveland Browns,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-27,2026-09-27T17:00:00Z,Cincinnati Bengals,Pittsburgh Steelers,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-27,2026-09-27T17:00:00Z,New York Jets,Detroit Lions,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-27,2026-09-27T17:00:00Z,Houston Texans,Indianapolis Colts,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-27,2026-09-27T17:00:00Z,New England Patriots,Jacksonville Jaguars,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-27,2026-09-27T17:00:00Z,Kansas City Chiefs,Miami Dolphins,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-27,2026-09-27T17:00:00Z,Tennessee Titans,New York Giants,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-27,2026-09-27T17:00:00Z,Seattle Seahawks,Washington Commanders,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-27,2026-09-27T20:05:00Z,Arizona Cardinals,San Francisco 49ers,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-27,2026-09-27T20:05:00Z,Minnesota Vikings,Tampa Bay Buccaneers,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-27,2026-09-27T20:25:00Z,Baltimore Ravens,Dallas Cowboys,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-27,2026-09-27T20:25:00Z,Las Vegas Raiders,New Orleans Saints,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-28,2026-09-28T00:20:00Z,Los Angeles Rams,Denver Broncos,,0,Confirm against official NFL injury report,no,0,0,0
2026-09-29,2026-09-29T00:15:00Z,Philadelphia Eagles,Chicago Bears,,0,Confirm against official NFL injury report,no,0,0,0
