retrieved_at_utc,source_type,league,team_or_player,headline_or_status,url,confidence,used_in_daily_file
2026-09-21T14:24:47.974798+00:00,API,NBA,,No update: configure ODDS_API_KEY to load an NBA slate.,https://the-odds-api.com/,API source,no
2026-09-21T14:31:16.993818+00:00,API,NBA,,No update: configure ODDS_API_KEY to load an NBA slate.,https://the-odds-api.com/,API source,no
2026-09-21T14:47:44.476632+00:00,API,NFL,,Loaded 17 NFL events; enter injury and factor values before use.,https://the-odds-api.com/,API source,no
2026-09-21T14:54:54.619266+00:00,API,NFL,,Loaded 17 NFL events; enter injury and factor values before use.,https://the-odds-api.com/,API source,no
2026-09-22T00:30:37.818458+00:00,API,NFL,,Loaded 1 NFL events; enter injury and factor values before use.,https://the-odds-api.com/,API source,no
2026-09-22T14:29:29.289242+00:00,API,NFL,,No update: configure ODDS_API_KEY to load the NFL slate.,https://the-odds-api.com/,API source,no
2026-09-23T14:30:02.728062+00:00,API,NFL,,No update: configure ODDS_API_KEY to load the NFL slate.,https://the-odds-api.com/,API source,no
2026-09-24T14:30:12.790003+00:00,API,NFL,,Loaded 1 NFL events; enter injury and factor values before use.,https://the-odds-api.com/,API source,no
2026-09-25T14:30:34.115537+00:00,API,NFL,,No update: configure ODDS_API_KEY to load the NFL slate.,https://the-odds-api.com/,API source,no
2026-09-26T14:27:35.950866+00:00,API,NFL,,No update: configure ODDS_API_KEY to load the NFL slate.,https://the-odds-api.com/,API source,no
